"mode","peel","Year","recruit_male"
"drop_survey",7,2012,2157770.68054431
"drop_survey",8,1982,1902554.88188256
"drop_survey",8,1983,1879889.0552131
"drop_survey",8,1984,3268078.01833098
"drop_survey",8,1985,3692294.79640728
"drop_survey",8,1986,167706.90524147
"drop_survey",8,1987,1151590.24548375
"drop_survey",8,1988,472434.2518148
"drop_survey",8,1989,625122.77997249
"drop_survey",8,1990,2801807.99773149
"drop_survey",8,1991,3746203.34911498
"drop_survey",8,1992,90607.34998951
"drop_survey",8,1993,85603.11270601
"drop_survey",8,1994,369827.92801039
"drop_survey",8,1995,227161.53064687
"drop_survey",8,1996,241200.34309624
"drop_survey",8,1997,252523.58073719
"drop_survey",8,1998,355095.10717317
"drop_survey",8,1999,295275.55296152
"drop_survey",8,2000,30657.11107882
"drop_survey",8,2001,1201939.55989233
"drop_survey",8,2002,843622.03266207
"drop_survey",8,2003,406854.52206869
"drop_survey",8,2004,1575278.24215129
"drop_survey",8,2005,617735.31701005
"drop_survey",8,2006,479405.90950584
"drop_survey",8,2007,1773036.9381115
"drop_survey",8,2008,3035594.52575313
"drop_survey",8,2009,1578181.14111367
"drop_survey",8,2010,2440035.88362153
"drop_survey",8,2011,2232905.13080638
"drop_survey",9,1982,1849169.73244384
"drop_survey",9,1983,1847601.13798384
"drop_survey",9,1984,3212507.995457
"drop_survey",9,1985,3667803.31692747
"drop_survey",9,1986,157262.97652605
"drop_survey",9,1987,1141357.01376375
"drop_survey",9,1988,469516.98012648
"drop_survey",9,1989,609487.49355204
"drop_survey",9,1990,2764622.41293474
"drop_survey",9,1991,3699421.85656787
"drop_survey",9,1992,89664.85875589
"drop_survey",9,1993,89650.60036937
"drop_survey",9,1994,354230.04149076
"drop_survey",9,1995,235364.31329631
"drop_survey",9,1996,231286.05638282
"drop_survey",9,1997,251711.80449213
"drop_survey",9,1998,353725.38750931
"drop_survey",9,1999,287715.69490601
"drop_survey",9,2000,28392.01795248
"drop_survey",9,2001,1190735.25858153
"drop_survey",9,2002,790469.04434837
"drop_survey",9,2003,466974.86709647
"drop_survey",9,2004,1189357.96697066
"drop_survey",9,2005,284929.43724379
"drop_survey",9,2006,388398.24992329
"drop_survey",9,2007,1271536.37549862
"drop_survey",9,2008,2398044.90745249
"drop_survey",9,2009,1771603.63587403
"drop_survey",9,2010,1902349.25885656
"drop_survey",10,1982,1653828.88212902
"drop_survey",10,1983,1722423.92528964
"drop_survey",10,1984,3005730.02235917
"drop_survey",10,1985,3426466.58033202
"drop_survey",10,1986,136727.83505785
